label,mf_thresh,ef_thresh,mf_extra_pct,ef_extra_pct,cfd_entry_thresh,total_injected_usd,total_gold_deployed,final_oz,avg_cost_usd,last_price,gold_value_usd,dca_cash_usd,cfd_capital_usd,total_assets_usd,total_return_usd,return_pct,n_buys,n_weekly_buys,n_mod_fear_buys,n_ext_fear_buys,n_sells,total_sell_proceeds,cfd_n_trades,cfd_n_tp,cfd_n_sl,cfd_win_rate_pct,cfd_pnl_usd
mf40_ef20_mp1.50_ep20.0_cfd25,40,20,1.5,20.0,25,13000.0,14835.42,3.9644,2421.8,4319.19,17123.14,2236.56,1680.83,21040.52,8040.52,61.85,314,212,77,25,41,5071.98,16,7,8,43.8,680.83
mf40_ef20_mp2.00_ep15.0_cfd30,40,20,2.0,15.0,30,13000.0,14313.07,3.8175,2384.08,4319.19,16488.51,2824.87,1721.79,21035.17,8035.17,61.81,314,212,77,25,41,5137.93,6,4,2,66.7,721.79
mf40_ef20_mp2.00_ep20.0_cfd40,40,20,2.0,20.0,40,13000.0,15135.24,4.0447,2414.46,4319.19,17469.66,2078.18,1474.51,21022.35,8022.35,61.71,314,212,77,25,41,5213.41,3,3,0,100.0,474.51
mf40_ef20_mp2.00_ep12.5_cfd35,40,20,2.0,12.5,35,13000.0,13803.22,3.6807,2364.18,4319.19,15897.64,3275.33,1835.91,21008.88,8008.88,61.61,314,212,77,25,41,5078.55,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep15.0_cfd40,45,20,2.0,15.0,40,13000.0,14711.29,3.9293,2379.35,4319.19,16971.39,2552.8,1474.51,20998.7,7998.7,61.53,314,198,91,25,41,5264.1,3,3,0,100.0,474.51
mf40_ef20_mp1.00_ep20.0_cfd35,40,20,1.0,20.0,35,13000.0,14517.14,3.8792,2429.46,4319.19,16755.17,2407.38,1835.91,20998.45,7998.45,61.53,314,212,77,25,41,4924.52,4,4,0,100.0,835.91
mf40_ef20_mp2.00_ep15.0_cfd25,40,20,2.0,15.0,25,13000.0,14313.07,3.8175,2384.08,4319.19,16488.51,2824.87,1680.83,20994.21,7994.21,61.49,314,212,77,25,41,5137.93,16,7,8,43.8,680.83
mf45_ef20_mp1.25_ep17.5_cfd30,45,20,1.25,17.5,30,13000.0,14495.23,3.8723,2405.6,4319.19,16725.14,2546.11,1721.79,20993.04,7993.04,61.48,314,198,91,25,41,5041.34,6,4,2,66.7,721.79
mf45_ef20_mp1.50_ep15.0_cfd30,45,20,1.5,15.0,30,13000.0,14262.44,3.8084,2385.37,4319.19,16449.37,2819.95,1721.79,20991.11,7991.11,61.47,314,198,91,25,41,5082.39,6,4,2,66.7,721.79
mf45_ef20_mp1.00_ep20.0_cfd30,45,20,1.0,20.0,30,13000.0,14702.14,3.9311,2424.85,4319.19,16978.97,2289.2,1721.79,20989.96,7989.96,61.46,314,198,91,25,41,4991.34,6,4,2,66.7,721.79
mf45_ef20_mp1.50_ep20.0_cfd40,45,20,1.5,20.0,40,13000.0,15094.55,4.0372,2415.06,4319.19,17437.59,2073.54,1474.51,20985.64,7985.64,61.43,314,198,91,25,41,5168.09,3,3,0,100.0,474.51
mf40_ef20_mp1.25_ep20.0_cfd30,40,20,1.25,20.0,30,13000.0,14678.69,3.9225,2425.59,4319.19,16941.95,2320.35,1721.79,20984.09,7984.09,61.42,314,212,77,25,41,4999.04,6,4,2,66.7,721.79
mf35_ef20_mp1.25_ep20.0_cfd35,35,20,1.25,20.0,35,13000.0,14444.32,3.8782,2435.17,4319.19,16750.58,2395.03,1835.91,20981.52,7981.52,61.4,314,226,63,25,41,4839.35,4,4,0,100.0,835.91
mf45_ef20_mp0.75_ep20.0_cfd35,45,20,0.75,20.0,35,13000.0,14494.19,3.8748,2429.92,4319.19,16736.03,2405.35,1835.91,20977.29,7977.29,61.36,314,198,91,25,41,4899.55,4,4,0,100.0,835.91
mf45_ef20_mp1.00_ep17.5_cfd35,45,20,1.0,17.5,35,13000.0,14272.69,3.8122,2409.67,4319.19,16465.75,2675.69,1835.91,20977.35,7977.35,61.36,314,198,91,25,41,4948.38,4,4,0,100.0,835.91
mf35_ef20_mp2.00_ep17.5_cfd30,35,20,2.0,17.5,30,13000.0,14379.15,3.8669,2414.21,4319.19,16701.85,2553.19,1721.79,20976.83,7976.83,61.36,314,226,63,25,41,4932.34,6,4,2,66.7,721.79
mf45_ef20_mp1.25_ep15.0_cfd35,45,20,1.25,15.0,35,13000.0,14023.17,3.744,2388.41,4319.19,16171.21,2964.04,1835.91,20971.15,7971.15,61.32,314,198,91,25,41,4987.21,4,4,0,100.0,835.91
mf40_ef20_mp1.25_ep17.5_cfd35,40,20,1.25,17.5,35,13000.0,14246.68,3.8027,2409.94,4319.19,16424.48,2711.77,1835.91,20972.16,7972.16,61.32,314,212,77,25,41,4958.45,4,4,0,100.0,835.91
mf35_ef20_mp2.00_ep15.0_cfd35,35,20,2.0,15.0,35,13000.0,13914.48,3.7404,2396.29,4319.19,16155.32,2971.24,1835.91,20962.47,7962.47,61.25,314,226,63,25,41,4885.72,4,4,0,100.0,835.91
mf40_ef20_mp1.50_ep17.5_cfd30,40,20,1.5,17.5,30,13000.0,14420.94,3.8492,2406.82,4319.19,16625.35,2613.49,1721.79,20960.62,7960.62,61.24,314,212,77,25,41,5034.42,6,4,2,66.7,721.79
mf45_ef20_mp2.00_ep10.0_cfd30,45,20,2.0,10.0,30,13000.0,13706.45,3.6622,2342.33,4319.19,15817.55,3421.15,1721.79,20960.49,7960.49,61.23,314,198,91,25,41,5127.6,6,4,2,66.7,721.79
mf45_ef20_mp1.50_ep12.5_cfd35,45,20,1.5,12.5,35,13000.0,13742.15,3.6693,2366.25,4319.19,15848.4,3271.18,1835.91,20955.49,7955.49,61.2,314,198,91,25,41,5013.32,4,4,0,100.0,835.91
